50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.975702,,,,,,,,,,,,,,,f651a6c4-55e3-4e0f-a178-59414ba83d6a,5,,"[61.0, 40.1]",3869685,0,,,,2.907503,,Left Foot,,,"[48.0, 43.2]",,Ground Pass,,13.364505,,,Aurélien Djani Tchouaméni,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Attacking Midfield,2,France,771,['97b5dc82-547a-4f93-a632-a2a8daf5ac98'],0,,,,,,,,,,,,,,,France,771,00:00:00.578,Pass,
,,,,,,,,,,,,,,,,,,,,4.179173,,,,,,,,,,,,,,,a5956ecc-d637-44d2-8705-e2079e12013e,8,,"[49.7, 43.6]",3869685,0,,,,-0.7343642,,Right Foot,,,"[96.0, 1.8]",,High Pass,,62.37732,Out,,Olivier Giroud,,True,,,,1,From Kick Off,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,2,France,771,['810629a9-ac49-494a-b859-89ef3ff36c57'],2,,,,,,,,,,,,,,,France,771,00:00:02.724,Pass,
,,,,,,,,,,,,,,,,,,,,1.123351,,,,,,,,,,,,,,,5ba6dfab-49f0-4225-bbb6-8b1e27bc729a,10,,"[22.7, 80.0]",3869685,0,,,,-0.3463541,,,,,"[36.0, 75.2]",,Low Pass,,14.139661,,,Rodrigo Javier De Paul,,,,,Throw-in,1,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,3,Argentina,779,['2be9a9f2-84ab-4935-8fb2-bd497202fa2f'],16,,,,,,,,,,,,,,,Argentina,779,00:00:16.423,Pass,
,,,,,,,,,,,,,,,,,,,,1.660349,,,,,,,,,,,,,,,27829865-a43c-4c50-b545-b09e8a965e16,16,,"[41.1, 73.9]",3869685,0,,,,-2.5865161,,Right Foot,,,"[23.2, 62.8]",,Ground Pass,,21.062288,,,Cristian Gabriel Romero,,,,,Free Kick,1,From Free Kick,Rodrigo Javier De Paul,7797.0,Right Center Midfield,4,Argentina,779,['22dde0b6-5149-411e-a910-68f6aa5b7523'],31,,,,,,,,,,,,,,,Argentina,779,00:00:31.843,Pass,
,,,,,,,,,,,,,,,,,,,,1.814283,,,,,,,,,,,,,,,59420b0c-94cc-4fb8-86fb-e1105936f6eb,19,,"[24.7, 59.4]",3869685,0,,,,-1.6879051,,Right Foot,,,"[21.5, 32.2]",,Ground Pass,,27.387589,,,Nicolás Hernán Otamendi,,,,,,1,From Free Kick,Cristian Gabriel Romero,20572.0,Right Center Back,4,Argentina,779,['29f8db49-f71f-4177-9825-3e93697fa4ba'],34,,,,,,,,,,,,,,,Argentina,779,00:00:34.727,Pass,
,,,,,,,,,,,,,,,,,,,,1.121537,,,,,,,,,,,,,,,71cb648d-11fe-4275-b838-cbcfc62bee04,22,,"[24.0, 27.1]",3869685,0,,,,1.6740316,,Right Foot,,,"[21.7, 49.3]",,Ground Pass,,22.318827,,,Cristian Gabriel Romero,,,,,,1,From Free Kick,Nicolás Hernán Otamendi,3090.0,Left Center Back,4,Argentina,779,['a5d54bb6-ba44-46ac-bba2-9c3c5d354283'],39,,,,,,,,,,,,,,,Argentina,779,00:00:39.227,Pass,
,,,,,,,,,,,,,,,,,,,,1.586917,,,,,,,,,,,,,,,4fd86774-8f37-4ea2-b562-b1a43c5adedf,25,,"[22.1, 49.8]",3869685,0,,,,-1.4865518,,Right Foot,,,"[24.0, 27.3]",,Ground Pass,,22.58008,,,Nicolás Hernán Otamendi,,,,,,1,From Free Kick,Cristian Gabriel Romero,20572.0,Right Center Back,4,Argentina,779,['b2e3ba63-98d2-4e2e-b456-3b9af203f6b2'],43,,,,,,,,,,,,,,,Argentina,779,00:00:43.285,Pass,
,,,,,,,,,,,,,,,,,,,,1.328806,,,,,,,,,,,,,,,4a4fd288-9139-4987-9c2a-3ab0e1793310,28,,"[21.7, 24.5]",3869685,0,,,,-1.3457046,,Right Foot,,,"[26.6, 3.1]",,Ground Pass,,21.953815,,,Nicolás Alejandro Tagliafico,,,,,,1,From Free Kick,Nicolás Hernán Otamendi,3090.0,Left Center Back,4,Argentina,779,['f6c30bac-9533-4dd1-bff7-95900d699747'],45,,,,,,,,,,,,,,,Argentina,779,00:00:45.601,Pass,
,,,,,,,,,,,,,,,,,,,,1.256802,,,,,,,,,,,,,,,bdf6b02c-1c04-4777-9617-bf73ececbf6c,32,,"[29.2, 2.5]",3869685,0,,,,0.10328964,,Left Foot,,,"[45.6, 4.2]",,Ground Pass,,16.487875,,,Alexis Mac Allister,,,,,,1,From Free Kick,Nicolás Alejandro Tagliafico,5507.0,Left Back,4,Argentina,779,['585421b8-3acc-4627-8b3c-74496fd20d1d'],47,,,,,,,,,,,,,,,Argentina,779,00:00:47.599,Pass,
,,,,,,,,,,,,,,,,,,,,2.139165,,,,,,,,,,,,,,,03ffd8af-1f1f-42b4-9c25-37d2a0c07981,38,,"[44.1, 3.8]",3869685,1,True,,,2.8070223,,Left Foot,,,"[20.8, 11.9]",,Ground Pass,,24.667793,,,Nicolás Hernán Otamendi,,,,,Free Kick,1,From Free Kick,Nicolás Alejandro Tagliafico,5507.0,Left Back,5,Argentina,779,['93a49f81-734c-4bdd-abd3-36f587a3404d'],1,,,,,,,,,,,,,,,Argentina,779,00:01:01.290,Pass,
,,,,,,,,,,,,,,,,,,,,1.168952,,,,,,,,,,,,,,,03684593-83f8-4faa-9039-721b694edad8,40,,"[21.7, 17.7]",3869685,1,,,,1.6983058,,Right Foot,,,"[19.7, 33.3]",,Ground Pass,,15.727683,,,Cristian Gabriel Romero,,,,,,1,From Free Kick,Nicolás Hernán Otamendi,3090.0,Left Center Back,5,Argentina,779,['1eb5caf2-76a4-4284-aa93-b074cf3db421'],4,,,,,,,,,,,,,,,Argentina,779,00:01:04.704,Pass,
,,,,,,,,,,,,,,,,,,,,1.707583,,,,,,,,,,,,,,,b90345b4-bb59-44ab-a670-08eb54053252,43,,"[30.9, 42.5]",3869685,1,,,,-1.7204233,,Right Foot,,,"[27.9, 22.6]",,Ground Pass,,20.12486,,,Nicolás Hernán Otamendi,,,,,,1,From Free Kick,Cristian Gabriel Romero,20572.0,Right Center Back,5,Argentina,779,['bb111083-eda6-494b-bb41-4b433c488f09'],12,,,,,,,,,,,,,,,Argentina,779,00:01:12.037,Pass,
,,,,,,,,,,,,,,,,,,,,1.638329,,,,,,,,,,,,,,,7897d215-0dda-4db9-91d1-cc80e1a70920,46,,"[29.8, 29.2]",3869685,1,,,,1.7369158,,Right Foot,,,"[27.0, 45.9]",,Ground Pass,,16.933104,,,Cristian Gabriel Romero,,,,,,1,From Free Kick,Nicolás Hernán Otamendi,3090.0,Left Center Back,5,Argentina,779,['f0a753c8-83a9-4dbd-a11c-f28d278a2ac1'],17,,,,,,,,,,,,,,,Argentina,779,00:01:17.390,Pass,
,,,,,,,,,,,,,,,,,,,,1.516352,,,,,,,,,,,,,,,1323f1d6-6eae-458b-8113-a170c40afd7f,49,,"[32.1, 54.5]",3869685,1,,,,-1.8352,,Right Foot,,,"[25.9, 31.6]",,Ground Pass,,23.72446,,,Nicolás Hernán Otamendi,,,,,,1,From Free Kick,Cristian Gabriel Romero,20572.0,Right Center Back,5,Argentina,779,['86205a59-08cb-40cc-9411-5d193ed14271'],22,,,,,,,,,,,,,,,Argentina,779,00:01:22.311,Pass,
,,,,,,,,,,,,,,,,,,,,1.832357,,,,,,,,,,,,,,,833d1fbd-c458-4b27-8ff5-c6d349d8edc9,52,,"[24.7, 29.0]",3869685,1,,,,2.5333307,,Right Foot,,,"[5.6, 42.3]",,Ground Pass,,23.27445,,,Damián Emiliano Martínez,,,,,,1,From Free Kick,Nicolás Hernán Otamendi,3090.0,Left Center Back,5,Argentina,779,['84bede3c-94d7-4d2e-ae7d-8bebbf9a1d04'],24,,,,,,,,,,,,,,,Argentina,779,00:01:24.055,Pass,
,,,,,,,,,,,,,,,,,,,,2.963225,,,,,,,,,,,,,,,6a7787f9-b334-492e-9f35-3a06a3646b4f,56,,"[3.9, 43.4]",3869685,1,,,,0.54012054,,Right Foot,,,"[53.1, 72.9]",,High Pass,,57.36628,Incomplete,,,,,,,,1,From Free Kick,Damián Emiliano Martínez,6909.0,Goalkeeper,5,Argentina,779,"['3a7fcec1-e87e-429b-a556-a14ed6b1eaee', 'bb6c636e-debd-427b-bfcf-a5ca8113f014']",27,,,,,,,,,,,,,,,Argentina,779,00:01:27.446,Pass,True
,,,,,,,,,,,,,,,,,,,,0.579569,,,,,,,,,,,,,,,1af94a8d-cb50-4d93-96e1-19fa1ae154fb,61,,"[68.5, 5.7]",3869685,1,,,,1.1334584,,Left Foot,,True,"[72.1, 13.4]",,Low Pass,,8.5,,,Adrien Rabiot,,,,,,1,Regular Play,Theo Bernard François Hernández,6704.0,Left Back,6,France,771,['caa393a7-8230-44aa-8b37-ad3929626929'],31,,,,,,,,,,,,,,,France,771,00:01:31.390,Pass,
,,,,,,,,,,,,,,,,,,,,1.154355,,,,,,,,,,,,,,,b10bc0c0-2bb9-4d19-80a7-d8e1c9d25a0d,64,,"[72.3, 13.4]",3869685,1,,,,-1.4224685,,Left Foot,,,"[73.6, 4.7]",,Low Pass,,8.79659,,,Theo Bernard François Hernández,,,,,,1,Regular Play,Adrien Rabiot,3026.0,Left Defensive Midfield,6,France,771,['0a7a5517-d12a-4cfd-9ce7-2d5784f7558c'],33,,,,,,,,,,,,,,,France,771,00:01:33.075,Pass,
,,,,,,,,,,,,,,,,,,,,1.539912,,,,,,,,,,,,,,,4b7c6ba4-6854-4806-b2ef-804060619a34,68,,"[73.2, 4.0]",3869685,1,,,,3.012054,,Left Foot,,,"[47.1, 7.4]",,Ground Pass,,26.320524,Unknown,,,,,,,,1,Regular Play,Theo Bernard François Hernández,6704.0,Left Back,6,France,771,['5166ff0a-6ec4-405e-b997-7087d3ed15d8'],34,,,,,,,,,,,,,,,France,771,00:01:34.817,Pass,True
